date,return_xm,ma_gap,rsi_14,vol_ratio,phone_pos,phone_neg,car_pos,car_neg,iot_pos,iot_neg,return_hsi
2025-08-14,-0.0024650780608052036,-0.04941561617310929,31.954887218045144,0.28728705584880043,0,0,0,0,1,0,-0.0030156415694592154
2025-08-15,0.0024711696869850197,-0.0388367015843131,34.141610087293884,1.0706142814658164,0,0,1,0,0,0,-0.009772311783280752
2025-08-18,0.004519309778142855,-0.02523779837915007,40.30172413793102,0.36896284544146407,1,0,0,0,0,0,-0.0036812012576504793
2025-08-19,-0.013496932515337345,-0.017820341859619306,40.25834230355223,0.2,0,0,1,0,1,0,-0.0021450069628498047
2025-08-20,0.0020729684908789014,-0.01440506766016625,47.17444717444721,0.5822187254130606,1,0,1,0,1,0,0.0017106906913666453
2025-08-21,-0.023996690111708796,-0.01398294264848563,38.30508474576271,1.1709706144256455,1,0,1,0,1,0,-0.0024380652772316713
2025-08-22,0.022043238660449216,-0.011642577984756848,40.262582056892775,1.2344768228206073,1,0,1,0,1,0,0.009348110104969054
2025-08-25,0.016175860638739215,-0.008231130134167246,46.65271966527197,1.1272598369372564,1,0,0,0,0,0,0.01946037626369712
2025-08-26,0.0020408163265306367,-0.003050540028032056,47.79874213836477,0.46753906746283824,0,0,1,1,1,0,-0.011744488956021093
2025-08-27,-0.0028513238289206155,0.0006293655788614966,61.12600536193032,1.230850501848917,1,0,1,0,0,0,-0.012537518413095694
2025-08-28,-0.008169934640522847,0.006573855251344334,61.6216216216216,1.6497175141242937,1,0,1,0,1,0,-0.008008344829906755
2025-08-29,-0.0016474464579901982,0.008448493111069922,64.04494382022472,0.5005030181086519,0,0,0,0,0,0,0.003188494284454446
2025-09-01,0.019389438943894444,0.010789136455706783,63.42857142857144,0.8038704875325642,0,0,1,0,1,1,0.022620456466610372
2025-09-02,0.03298259813840532,0.0173675248955163,65.8210947930574,1.345132743362832,0,0,1,0,0,1,-0.0038354714984790705
2025-09-03,-0.020568070519098813,0.02115458005425311,58.551068883610434,1.1502029769959405,0,0,1,0,0,0,-0.005908125331917202
2025-09-04,-0.01959999999999995,0.02124066924066941,51.83189655172416,0.9369226708894167,1,0,1,1,1,1,-0.011051752921535929
2025-09-05,-0.000815993472052301,0.021050144340911726,50.43956043956044,3.264236902050114,1,0,1,1,1,0,0.014720280900773153
2025-09-08,0.021845651286239276,0.01989846053062564,59.51629863301784,1.1134338211024315,0,1,0,0,1,1,0.008528808295901857
2025-09-09,0.024975024975024906,0.017007912554041993,63.883677298311405,0.8989539027474422,0,1,0,0,0,1,0.01254756196802087
2025-09-10,-0.021442495126705596,0.016248574686431053,64.24528301886794,0.38131105095916207,0,1,0,0,1,1,0.010752104262829132
2025-09-11,-0.0029880478087650486,0.01889746170188969,59.42327497425333,0.8616935945914976,1,0,1,0,1,0,-0.0035996346639445287
2025-09-12,0.00899100899100902,0.0231850235908883,57.995735607675904,1.992717643164515,1,0,0,0,1,0,0.011571228297206915
2025-09-15,0.01881188118811883,0.02621192187025608,61.48582600195503,0.6887561108093427,1,0,0,1,1,0,0.002366662047056156
2025-09-16,0.0038872691933915515,0.024094562838498815,63.07094266277938,0.2918287937743191,1,0,0,1,1,0,-0.00024461579367185404
2025-09-17,0.022265246853823806,0.029950701326345065,69.2028985507246,1.9833717319443054,1,0,0,1,1,0,0.017776217527286642
2025-09-18,-0.01609848484848475,0.03263584947139137,64.69093988145642,1.1444521981856246,0,0,0,0,0,0,-0.01351478473550527
2025-09-19,-0.002887391722810495,0.03413254739525234,60.79854809437385,1.368657737804282,0,0,0,1,0,0,1.0595465140816884e-05
2025-09-22,-0.010617760617760541,0.031026158141013442,51.00603621730383,0.4706117953339341,0,1,0,0,0,0,-0.007480319132028734
